Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
SRSF12	135295	2	0.2942020029586559	False	0.028657079872700504	62.0	False
CACNG5	27091	2	0.2942020029586559	False	0.0284612397320511	63.0	False
ABCA9	10350	2	0.2942020029586559	False	0.02843532616094832	64.0	False
STK32C	282974	2	0.2942020029586559	False	0.02819131400691142	65.0	False
CYP46A1	10858	2	0.2942020029586559	False	0.027654912315207184	66.0	False
MGAT5B	146664	2	0.2942020029586559	False	0.02731417308427925	67.0	False
CACNA1I	8911	2	0.2942020029586559	False	0.02724656243126844	68.0	True
WNT16	51384	2	0.2942020029586559	False	0.027195835981263773	69.0	False
PANX2	56666	2	0.2942020029586559	False	0.026693061936191843	70.0	False
DOC2B	8447	2	0.2942020029586559	False	0.026377740157240502	71.0	False
ZKSCAN2	342357	2	0.2942020029586559	False	0.02635184043132264	72.0	False
LRFN5	145581	2	0.2942020029586559	False	0.02561957321612998	73.0	True
CASKIN1	57524	2	0.2942020029586559	False	0.025616573426064656	74.0	True
IL17B	27190	2	0.2942020029586559	False	0.02561104919728282	75.0	False
DISP2	85455	2	0.2942020029586559	False	0.025579828305295232	76.0	False
RASL10B	91608	2	0.2942020029586559	False	0.025369926071831906	77.0	False
SYNGR3	9143	2	0.2942020029586559	False	0.02507652352813482	78.0	False
SEMA6C	10500	2	0.2942020029586559	False	0.024883618566687797	79.0	False
PTGIR	5739	2	0.2942020029586559	False	0.024351728097735646	80.0	False
NYAP2	57624	2	0.2942020029586559	False	0.02427153678669702	81.0	False
ERICH3	127254	2	0.2942020029586559	False	0.023940611484344343	82.0	False
SUSD5	26032	2	0.2942020029586559	False	0.023855641276978572	83.0	False
MOG	4340	2	0.2942020029586559	False	0.023834961185774377	84.0	False
NCAN	1463	2	0.2942020029586559	False	0.0238051271198093	85.0	False
NDN	4692	2	0.2942020029586559	False	0.023736604992124793	86.0	False
FBXO41	150726	2	0.2942020029586559	False	0.02358197504438051	87.0	False
FRRS1L	23732	2	0.2942020029586559	False	0.023511899948454495	88.0	False
CHRNA3	1136	2	0.2942020029586559	False	0.023472951135752464	89.0	False
STXBP5L	9515	2	0.2942020029586559	False	0.023400349293579113	90.0	False
FAM171B	165215	2	0.2942020029586559	False	0.023377442435134118	91.0	False
CLGN	1047	2	0.2942020029586559	False	0.023278878563710782	92.0	False
DEFB136	613210	2	0.2942020029586559	False	0.022784635460078473	93.0	False
VGF	7425	2	0.2942020029586559	False	0.022757521972949564	94.0	False
CNTN2	6900	2	0.2942020029586559	False	0.02225885533273631	95.0	False
CDH20	28316	2	0.2942020029586559	False	0.022229824287496414	96.0	False
WFDC1	58189	2	0.2942020029586559	False	0.02101541466028881	97.0	False
TCF15	6939	2	0.2942020029586559	False	0.020977158106832625	98.0	False
NEFH	4744	2	0.2942020029586559	False	0.020789918133547428	99.0	False
LY6H	4062	2	0.2942020029586559	False	0.020650637880814338	100.0	False
TMEM132E	124842	2	0.2942020029586559	False	0.020600555231908308	101.0	False
VSNL1	7447	2	0.2942020029586559	False	0.020570495027922922	102.0	False
CCDC85A	114800	2	0.2942020029586559	False	0.020489246867768974	103.0	False
GNG4	2786	2	0.2942020029586559	False	0.020401454550210977	104.0	False
MTCL3	387104	2	0.2942020029586559	False	0.0202714736466804	105.0	False
SHD	56961	2	0.2942020029586559	False	0.020252646502724247	106.0	False
SCGN	10590	2	0.2942020029586559	False	0.020128672101916777	107.0	True
SLC45A1	50651	2	0.2942020029586559	False	0.020100954041713165	108.0	True
CIB2	10518	2	0.2942020029586559	False	0.01997131003768223	109.0	True
CACNG7	59284	2	0.2942020029586559	False	0.01990004194832254	110.0	False
RXFP3	51289	2	0.2942020029586559	False	0.01988112019560279	111.0	False
MAPK11	5600	2	0.2942020029586559	False	0.01965481603307459	112.0	False
NAT8L	339983	2	0.2942020029586559	False	0.019638845612272957	113.0	False
STMN4	81551	2	0.2942020029586559	False	0.01963225991931416	114.0	False
KIF26A	26153	2	0.2942020029586559	False	0.019330289513684335	115.0	False
RASL10A	10633	2	0.2942020029586559	False	0.019326159033517462	116.0	False
JPH4	84502	2	0.2942020029586559	False	0.019237536004864452	117.0	False
KCNC1	3746	2	0.2942020029586559	False	0.01921894192152107	118.0	True
SLC41A3	54946	2	0.2942020029586559	False	0.01883683789312311	119.0	False
CNTNAP5	129684	2	0.2942020029586559	False	0.018802912575015093	120.0	True
ASTN1	460	2	0.2942020029586559	False	0.0187959253716937	121.0	False
PCNX2	80003	2	0.2942020029586559	False	0.018705492085112806	122.0	False
MAP1A	4130	2	0.2942020029586559	False	0.018340535318234416	123.0	True
SCN2A	6326	2	0.2942020029586559	False	0.018298456339975757	124.0	True
CALB1	793	2	0.2942020029586559	False	0.018281123322225222	125.0	False
SV2A	9900	2	0.2942020029586559	False	0.018166590183765662	126.0	False
CCNO	10309	2	0.2942020029586559	False	0.01812925779640268	127.0	False
KCNB1	3745	2	0.2942020029586559	False	0.018079758952793977	128.0	True
MINAR2	100127206	2	0.2942020029586559	False	0.01792238765843615	129.0	False
SLC24A2	25769	2	0.2942020029586559	False	0.01776858842178688	130.0	True
THSD7B	80731	2	0.2942020029586559	False	0.017646828096800706	131.0	False
INHA	3623	2	0.2942020029586559	False	0.017319179488211694	132.0	False
SRRM4	84530	2	0.2942020029586559	False	0.017204449055867068	133.0	False
FSCN1	6624	2	0.2942020029586559	False	0.017089567480253767	134.0	False
NMUR2	56923	2	0.2942020029586559	False	0.016951180241947816	135.0	False
TENM2	57451	2	0.2942020029586559	False	0.0168627937352038	136.0	False
GRID1	2894	2	0.2942020029586559	False	0.01681765497107851	137.0	True
FHOD3	80206	2	0.2942020029586559	False	0.01679892128212055	138.0	False
ELAVL2	1993	2	0.2942020029586559	False	0.01650574487644377	139.0	True
CDH2	1000	2	0.2942020029586559	False	0.016503407347723636	140.0	True
NSUN7	79730	2	0.2942020029586559	False	0.01635222715855448	141.0	False
SPINK14	408187	3	0.0294166066070175	True	0.2316917059332725	1.0	False
CRHR1	1394	3	0.0294166066070175	True	0.17734929287436751	2.0	False
RTBDN	83546	3	0.0294166066070175	True	0.17698841404995114	3.0	False
PAQR9	344838	3	0.0294166066070175	True	0.13757958799853906	4.0	False
CDH7	1005	3	0.0294166066070175	True	0.1259171521507258	5.0	False
JAKMIP3	282973	3	0.0294166066070175	True	0.1248104973818034	6.0	False
LY6H	4062	3	0.0294166066070175	True	0.11298328700153043	7.0	False
SCN9A	6335	3	0.0294166066070175	True	0.09186133719235755	8.0	True
CELSR3	1951	3	0.0294166066070175	True	0.08412857038032585	9.0	False
DNAJC6	9829	3	0.0294166066070175	True	0.08222449790907274	10.0	False
ACKR1	2532	3	0.0294166066070175	True	0.08116398274870434	11.0	False
AGAP2	116986	3	0.0294166066070175	True	0.0761079978778833	12.0	True
EGR4	1961	3	0.0294166066070175	True	0.07156525292548889	13.0	False
SEPTIN3	55964	3	0.0294166066070175	True	0.07007756323603544	14.0	False
NCAN	1463	3	0.0294166066070175	True	0.06764379147064029	15.0	False
KNDC1	85442	3	0.0294166066070175	True	0.06666262336222523	16.0	False
SEMA6C	10500	3	0.0294166066070175	True	0.06657104114075242	17.0	False
DOC2A	8448	3	0.0294166066070175	True	0.06592392029392928	18.0	False
SLC1A7	6512	3	0.0294166066070175	True	0.06315168554557743	19.0	False
CACNG8	59283	3	0.0294166066070175	True	0.06103975628660408	20.0	False
KCNN2	3781	3	0.0294166066070175	True	0.060744331211281165	21.0	True
CALN1	83698	3	0.0294166066070175	True	0.06071579296208164	22.0	False
FRRS1L	23732	3	0.0294166066070175	True	0.058792184828010394	23.0	False
VWC2	375567	3	0.0294166066070175	True	0.05834728282370769	24.0	False
ASPHD2	57168	3	0.0294166066070175	True	0.05805140429309988	25.0	False
GRIK1	2897	3	0.0294166066070175	True	0.05742108694860726	26.0	False
YPEL4	219539	3	0.0294166066070175	True	0.05724636731934404	27.0	False
CADM3	57863	3	0.0294166066070175	True	0.05675190135474949	28.0	False
SLC45A1	50651	3	0.0294166066070175	True	0.05573700151824438	29.0	True
ERICH3	127254	3	0.0294166066070175	True	0.054309176950673145	30.0	False
CBX6	23466	3	0.0294166066070175	True	0.05308695784300939	31.0	False
CDH2	1000	3	0.0294166066070175	True	0.05002863494928855	32.0	True
STXBP5L	9515	3	0.0294166066070175	True	0.0489541715488927	33.0	False
TEX47	219557	3	0.0294166066070175	True	0.04665764810068916	34.0	False
PRRT2	112476	3	0.0294166066070175	True	0.04656478296684409	35.0	False
LRFN5	145581	3	0.0294166066070175	True	0.045706880072877036	36.0	True
SLC5A7	60482	3	0.0294166066070175	True	0.04525597715342877	37.0	False
PCNX2	80003	3	0.0294166066070175	True	0.04355717676316564	38.0	False
C14orf39	317761	3	0.0294166066070175	True	0.04278692937729415	39.0	False
MMP24	10893	3	0.0294166066070175	True	0.04239755813656944	40.0	False
RPH3A	22895	3	0.0294166066070175	True	0.041862618780560745	41.0	True
TRIM67	440730	3	0.0294166066070175	True	0.04174427899464407	42.0	False
ODF1	4956	3	0.0294166066070175	True	0.04158502191276107	43.0	False
NYAP2	57624	3	0.0294166066070175	True	0.04142618350055882	44.0	False
OLFM2	93145	3	0.0294166066070175	True	0.041266277607392064	45.0	False
CLGN	1047	3	0.0294166066070175	True	0.04086155162679702	46.0	False
PCDHA1	56147	3	0.0294166066070175	True	0.04054700746356233	47.0	True
SRSF12	135295	3	0.0294166066070175	True	0.04041828122923501	48.0	False
KCNA5	3741	3	0.0294166066070175	True	0.03922686309436136	49.0	False
TRAM1L1	133022	3	0.0294166066070175	True	0.03890533684059679	50.0	False
NOVA1	4857	3	0.0294166066070175	True	0.038416070749938344	51.0	False
FHOD3	80206	3	0.0294166066070175	True	0.038385851902495834	52.0	False
DCC	1630	3	0.0294166066070175	True	0.03666152257261341	53.0	True
